userId,itemId,vote
User_A,Item_A,5
User_A,Item_B,3
User_A,Item_C,2.5
User_A,Item_D,0
User_A,Item_E,0
User_A,Item_F,0
User_B,Item_A,2
User_B,Item_B,2.5
User_B,Item_C,5
User_B,Item_D,2
User_B,Item_E,0
User_B,Item_F,0
User_C,Item_A,2
User_C,Item_B,0
User_C,Item_C,0
User_C,Item_D,4
User_C,Item_E,4.5
User_C,Item_F,6
User_D,Item_A,5
User_D,Item_B,0
User_D,Item_C,3
User_D,Item_D,4.5
User_D,Item_E,0
User_D,Item_F,4
User_E,Item_A,4
User_E,Item_B,3
User_E,Item_C,2
User_E,Item_D,4
User_E,Item_E,3.5
User_E,Item_F,4
