id,userId,itemId,rating
1,u_1,i_1,4.0 
2,u_1,i_2,5.0 
3,u_1,i_3,2.5 
4,u_1,i_4,NaN
5,u_1,i_5,NaN
6,u_1,i_6,NaN
7,u_1,i_7,NaN
8,u_2,i_1,3.0 
9,u_2,i_2,2.5 
10,u_2,i_3,5.0 
11,u_2,i_4,2.3 
12,u_2,i_5,NaN
13,u_2,i_6,NaN
14,u_2,i_7,NaN
15,u_3,i_1,4.5 
16,u_3,i_2,NaN
17,u_3,i_3,NaN
18,u_3,i_4,2.0 
19,u_3,i_5,4.5 
20,u_3,i_6,NaN
21,u_3,i_7,5.0 
22,u_4,i_1,5.0 
23,u_4,i_2,NaN
24,u_4,i_3,3.5 
25,u_4,i_4,4.5 
26,u_4,i_5,NaN
27,u_4,i_6,4.0 
28,u_4,i_7,NaN
29,u_5,i_1,4.0 
30,u_5,i_2,3.5 
31,u_5,i_3,2.0 
32,u_5,i_4,4.0 
33,u_5,i_5,3.5 
34,u_5,i_6,5.0 
35,u_5,i_7,NaN
36,u_6,i_1,NaN
37,u_6,i_2,4.0 
38,u_6,i_3,1.0 
39,u_6,i_4,NaN
40,u_6,i_5,3.5 
41,u_6,i_6,NaN
42,u_6,i_7,4.0 
